454.32,697.32,544.32,0.22%,0.29%,0.11%
455.305,699.324,544.924,0.29%,0.36%,0.39%
456.607,701.839,547.074,0.57%,0.21%,0.03%
459.188,703.284,547.261,-0.36%,-0.39%,-0.01%
457.524,700.57,547.209,0.09%,-0.09%,0.15%
457.919,699.97,548.02,1.00%,-0.11%,0.30%
462.51,699.197,549.638,-0.41%,-0.19%,-0.06%
460.598,697.877,549.303,0.45%,-0.06%,0.09%
462.688,697.471,549.79,-0.45%,0.02%,-0.52%
460.597,697.599,546.932,0.50%,-0.05%,0.04%
462.878,697.225,547.126,-0.05%,0.03%,0.11%
462.662,697.447,547.735,-0.07%,0.23%,0.25%
462.348,699.047,549.08,0.31%,0.40%,0.09%
463.775,701.817,549.6,0.06%,0.03%,0.38%
464.05,702.028,551.672,-0.01%,-0.24%,0.06%
463.989,700.332,551.998,0.47%,-0.23%,0.10%
466.168,698.693,552.525,0.40%,0.10%,-0.12%
468.028,699.411,551.839,0.48%,0.08%,0.04%
470.252,699.963,552.053,0.35%,-0.22%,0.37%
471.905,698.393,554.104,-0.23%,0.14%,-0.01%
470.821,699.357,554.057,0.90%,0.23%,0.45%
475.059,700.933,556.558,-1.71%,-0.19%,-0.09%
466.936,699.634,556.054,0.44%,-0.15%,0.55%
468.981,698.612,559.112,-0.21%,-0.06%,-0.08%
467.991,698.213,558.662,-0.47%,0.34%,-0.18%
465.796,700.593,557.661,0.56%,0.48%,0.16%
468.388,703.926,558.574,0.68%,0.23%,0.38%
471.565,705.556,560.721,-0.44%,0.06%,-0.12%
469.5,705.963,560.058,0.54%,0.04%,-0.18%
472.041,706.264,559.048,-0.18%,0.05%,0.22%
471.206,706.596,560.279,0.32%,0.21%,-0.32%
472.711,708.076,558.467,0.21%,-0.06%,0.14%
473.712,707.637,559.259,0.11%,-0.23%,-0.24%
474.249,706.009,557.905,-0.50%,-0.67%,-0.32%
471.898,701.252,556.109,-0.18%,0.16%,-0.01%
471.071,702.387,556.075,0.36%,0.09%,0.31%
472.759,703.016,557.805,0.19%,-0.01%,0.14%
473.651,702.938,558.562,-0.05%,-0.31%,0.36%
473.426,700.784,560.577,-0.15%,0.00%,-0.01%
472.735,700.817,560.529,-0.08%,-0.27%,0.35%
472.37,698.947,562.518,-0.03%,0.12%,0.04%
472.207,699.788,562.742,0.04%,0.07%,-0.23%
472.376,700.267,561.466,-1.05%,-0.07%,-0.28%
467.425,699.799,559.903,0.73%,-0.34%,0.25%
470.845,697.404,561.31,0.83%,-0.30%,0.22%
474.764,695.333,562.526,0.55%,0.28%,-0.03%
477.394,697.314,562.334,-0.14%,-0.33%,0.07%
476.717,695.02,562.741,0.25%,0.19%,0.30%
477.887,696.309,564.449,-0.22%,0.09%,0.12%
476.842,696.922,565.126,0.07%,0.27%,-0.36%
477.159,698.819,563.068,0.27%,-0.13%,0.15%
478.451,697.919,563.918,0.32%,0.03%,-0.01%
479.981,698.137,563.881,-0.03%,0.14%,0.04%
479.841,699.098,564.116,0.25%,0.13%,-0.02%
481.046,700.015,563.996,0.27%,-0.13%,0.29%
482.342,699.117,565.63,-0.25%,-0.17%,0.05%
481.113,697.944,565.898,0.00%,0.11%,0.08%
481.113,698.677,566.332,0.78%,0.21%,0.45%
484.847,700.143,568.875,0.27%,0.14%,-0.39%
486.133,701.158,566.647,0.48%,0.16%,0.06%
488.459,702.291,567.011,-0.55%,0.08%,0.33%
485.775,702.848,568.866,-0.09%,0.39%,-0.11%
485.36,705.58,568.25,-0.33%,-0.06%,0.14%
483.749,705.189,569.046,0.81%,0.23%,0.34%
487.682,706.836,570.966,-0.25%,0.25%,0.48%
486.44,708.632,573.731,0.29%,-0.01%,0.14%
487.852,708.551,574.536,0.34%,-0.07%,0.37%
489.492,708.063,576.64,0.57%,0.52%,0.44%
492.305,711.763,579.176,0.69%,0.12%,-0.24%
495.717,712.594,577.78,-0.10%,-0.13%,0.58%
495.226,711.66,581.117,-0.01%,0.05%,-0.31%
495.159,712.029,579.329,0.49%,0.14%,0.25%
497.575,713,580.753,-0.09%,0.06%,-0.38%
497.145,713.441,578.572,0.15%,0.03%,0.34%
497.91,713.687,580.545,-0.08%,0.03%,-0.58%
497.535,713.904,577.149,0.04%,-0.08%,0.06%
497.751,713.323,577.523,-0.21%,-0.06%,-0.12%
496.711,712.909,576.83,0.63%,-0.06%,0.16%
499.839,712.457,577.742,0.14%,0.02%,0.21%
500.518,712.591,578.98,-0.15%,0.01%,0.11%
499.748,712.63,579.634,-0.35%,0.01%,0.39%
498.018,712.688,581.91,0.09%,-0.17%,-0.24%
498.491,711.491,580.515,-0.23%,-0.12%,0.67%
497.347,710.665,584.415,0.50%,0.00%,0.33%
499.846,710.693,586.325,-0.05%,-0.01%,0.00%
499.574,710.633,586.34,0.04%,0.25%,-0.37%
499.772,712.439,584.193,0.86%,0.10%,0.05%
504.089,713.149,584.504,0.19%,-0.53%,0.28%
505.054,709.386,586.152,0.05%,0.26%,0.48%
505.298,711.238,588.976,0.55%,-0.23%,-0.14%
508.074,709.568,588.164,0.57%,0.07%,0.20%
510.97,710.041,589.352,0.15%,-0.11%,-0.49%
511.733,709.259,586.489,0.32%,0.74%,-0.50%
513.395,714.534,583.551,-0.13%,0.51%,0.05%
512.744,718.208,583.836,0.09%,0.08%,0.26%
513.213,718.803,585.348,0.01%,-0.21%,0.06%
513.253,717.32,585.697,0.23%,-0.18%,0.07%
514.455,716.06,586.088,0.12%,0.05%,0.12%
515.078,716.427,586.816,0.04%,0.12%,-0.24%
515.302,717.269,585.43,0.62%,0.25%,0.46%
518.504,719.094,588.122,0.01%,-0.39%,-0.19%
518.576,716.287,586.981,0.22%,0.32%,0.18%
519.71,718.563,588.019,0.56%,-0.19%,0.77%
522.611,717.213,592.55,-0.04%,0.15%,-0.28%
522.39,718.262,590.882,0.23%,-0.18%,0.10%
523.59,716.968,591.461,0.05%,0.29%,-0.30%
523.865,719.075,589.676,-0.09%,-0.51%,-0.21%
523.368,715.408,588.421,-0.21%,0.04%,0.19%
522.293,715.693,589.514,-0.33%,0.52%,0.15%
520.571,719.441,590.413,-0.21%,-0.35%,-0.14%
519.479,716.923,589.584,-0.48%,0.10%,-0.01%
516.992,717.639,589.542,-0.04%,0.01%,-0.73%
516.774,717.726,585.218,-0.65%,-0.01%,-0.30%
513.422,717.638,583.48,-0.12%,-0.03%,0.24%
512.798,717.443,584.89,0.43%,-0.50%,-0.36%
514.978,713.879,582.784,0.43%,0.60%,-0.31%
517.202,718.149,580.97,-0.08%,0.36%,-0.30%
516.801,720.713,579.235,0.08%,0.11%,-0.20%
517.199,721.525,578.086,0.66%,-0.13%,-0.06%
520.618,720.595,577.726,-0.27%,-0.07%,-0.26%
519.221,720.102,576.237,-0.70%,-0.14%,0.04%
515.6,719.114,576.451,-0.22%,0.10%,-0.28%
514.445,719.867,574.815,0.75%,0.15%,0.06%
518.281,720.933,575.145,0.32%,0.04%,0.17%
519.965,721.232,576.124,0.93%,0.25%,-0.14%
524.809,723.066,575.332,0.36%,-0.16%,0.30%
526.716,721.929,577.074,0.64%,0.45%,0.03%
530.063,725.167,577.275,0.59%,0.14%,-0.23%
533.187,726.163,575.972,-0.38%,-0.04%,0.36%
531.176,725.875,578.062,0.09%,-0.25%,0.23%
531.659,724.086,579.405,0.27%,0.13%,0.26%
533.083,725.045,580.889,0.41%,-0.10%,0.02%
535.28,724.332,581.014,-0.02%,0.27%,0.25%
535.188,726.258,582.488,-0.98%,-0.08%,-0.16%
529.947,725.67,581.558,0.56%,0.08%,0.45%
532.932,726.235,584.186,0.35%,0.04%,-0.31%
534.787,726.531,582.375,-0.01%,-0.02%,0.53%
534.712,726.413,585.462,0.92%,0.34%,0.46%
539.65,728.892,588.156,-0.19%,-0.41%,0.01%
538.634,725.927,588.206,-0.46%,0.18%,-0.09%
536.138,727.242,587.665,0.09%,-0.09%,-0.13%
536.623,726.578,586.879,0.61%,0.18%,0.58%
539.878,727.877,590.292,0.01%,-0.20%,0.82%
539.906,726.413,595.139,0.09%,0.01%,-0.40%
540.418,726.47,592.782,0.31%,0.20%,0.19%
542.08,727.958,593.917,0.56%,0.33%,-0.22%
545.096,730.369,592.608,0.15%,0.37%,-0.31%
545.906,733.045,590.794,0.21%,0.35%,0.46%
547.029,735.577,593.492,0.60%,-0.06%,0.22%
550.334,735.121,594.782,-0.02%,0.45%,0.25%
550.219,738.413,596.283,0.87%,-0.20%,0.22%
554.979,736.946,597.603,-0.85%,0.25%,-0.06%
550.27,738.801,597.26,0.03%,-0.10%,-0.10%
550.434,738.051,596.659,-0.51%,0.19%,0.06%
547.639,739.448,597.01,0.19%,-0.22%,-0.19%
548.659,737.849,595.891,-0.67%,0.01%,0.00%
544.989,737.948,595.913,0.21%,0.06%,0.08%
546.135,738.39,596.398,-0.85%,-0.06%,-0.41%
541.487,737.961,593.967,0.36%,0.13%,-0.02%
543.447,738.943,593.843,0.24%,0.41%,0.20%
544.754,741.941,595.006,1.14%,0.10%,0.14%
550.943,742.655,595.819,-0.32%,-0.55%,-0.34%
549.179,738.538,593.79,0.01%,0.73%,-0.07%
549.254,743.915,593.393,0.22%,-0.15%,0.36%
550.467,742.82,595.523,0.12%,-0.24%,0.37%
551.115,741.058,597.723,-1.25%,-0.09%,-0.34%
544.218,740.38,595.706,0.74%,0.36%,0.02%
548.223,743.042,595.827,0.22%,-0.29%,0.41%
549.424,740.906,598.256,-0.19%,0.26%,-0.49%
548.371,742.82,595.336,0.11%,0.13%,0.83%
548.972,743.783,600.252,0.80%,0.00%,0.08%
553.369,743.749,600.754,0.57%,0.48%,-0.06%
556.541,747.352,600.368,-0.76%,-0.26%,0.22%
552.312,745.379,601.677,-0.14%,0.20%,-0.16%
551.558,746.835,600.718,0.11%,-0.18%,0.05%
552.183,745.526,600.991,0.26%,0.01%,0.12%
553.61,745.572,601.688,-0.16%,0.18%,-0.23%
552.72,746.919,600.321,-0.30%,-0.18%,0.24%
551.039,745.54,601.775,-0.63%,-0.03%,-0.48%
547.587,745.285,598.9,0.28%,0.16%,0.07%
549.116,746.483,599.294,0.32%,0.01%,0.19%
550.867,746.532,600.412,-0.22%,0.11%,0.23%
549.642,747.384,601.771,0.44%,0.29%,0.19%
552.033,749.571,602.91,-0.52%,-0.04%,0.38%
549.181,749.261,605.185,0.97%,-0.11%,0.32%
554.487,748.465,607.126,-0.04%,0.50%,-0.19%
554.279,752.186,605.973,0.07%,0.40%,0.73%
554.64,755.225,610.393,0.21%,-0.30%,-0.47%
555.824,752.986,607.503,-0.52%,-0.01%,-0.01%
552.939,752.874,607.454,0.01%,0.64%,0.02%
553.001,757.699,607.592,-0.02%,-0.20%,-0.44%
552.868,756.216,604.914,-0.21%,-0.32%,0.02%
551.691,753.779,605.042,0.17%,0.19%,-0.02%
552.632,755.224,604.934,0.07%,0.24%,-0.37%
553.023,757.027,602.69,0.03%,0.27%,0.25%
553.203,759.068,604.189,0.03%,0.40%,0.03%
553.374,762.068,604.359,-0.26%,-0.11%,-0.48%
551.954,761.226,601.481,-0.19%,-0.35%,-0.19%
550.915,758.545,600.336,0.89%,0.56%,0.08%
555.812,762.817,600.834,0.35%,0.33%,0.09%
557.758,765.324,601.364,-0.15%,-0.20%,0.23%
556.918,763.767,602.75,0.65%,-0.04%,0.15%
560.558,763.45,603.625,-0.30%,0.04%,0.09%
558.904,763.767,604.152,0.33%,0.74%,0.01%
560.762,769.444,604.24,0.06%,0.25%,0.12%
561.079,771.341,604.976,-0.06%,0.08%,0.02%
560.747,771.955,605.076,1.00%,0.15%,0.55%
566.335,773.147,608.374,0.17%,0.05%,0.42%
567.274,773.547,610.929,0.55%,0.50%,0.01%
570.403,777.448,610.974,0.09%,-0.17%,0.13%
570.925,776.138,611.786,0.64%,0.09%,0.22%
574.553,776.857,613.104,0.23%,0.11%,0.22%
575.885,777.734,614.427,-0.41%,0.04%,-0.18%
573.496,778.075,613.311,-0.35%,-0.16%,0.18%
571.514,776.837,614.407,0.26%,0.05%,-0.23%
572.996,777.228,613,-0.46%,-0.14%,0.23%
570.377,776.153,614.38,0.22%,-0.17%,0.07%
571.622,774.856,614.827,0.04%,-0.08%,-0.07%
571.874,774.242,614.397,-0.01%,0.33%,0.03%
571.834,776.786,614.601,-0.53%,-0.44%,0.03%
568.787,773.394,614.788,0.18%,0.20%,-0.06%
569.807,774.955,614.411,0.32%,0.24%,0.23%
571.642,776.826,615.794,-0.29%,0.33%,-0.47%
569.979,779.421,612.909,1.07%,-0.32%,0.99%
576.093,776.953,618.986,-0.33%,-0.37%,0.30%
574.18,774.107,620.823,-0.35%,0.31%,-0.10%
572.179,776.501,620.175,0.25%,0.00%,-0.36%
573.595,776.528,617.94,0.50%,0.02%,-0.21%
576.449,776.678,616.614,-0.37%,0.07%,-0.08%
574.337,777.243,616.121,-0.20%,0.49%,0.16%
573.167,781.054,617.133,-0.10%,-0.09%,0.07%
572.6,780.367,617.554,0.52%,0.01%,0.33%
575.58,780.476,619.62,0.09%,0.00%,0.50%
576.117,780.44,622.733,0.44%,-0.29%,-0.80%
578.626,778.15,617.742,-0.25%,0.09%,0.85%
577.197,778.863,622.99,-0.35%,-0.08%,-0.13%
575.166,778.215,622.169,-0.32%,0.10%,0.43%
573.347,779.025,624.856,0.32%,0.42%,-0.51%
575.154,782.294,621.687,-0.08%,0.17%,0.23%
574.684,783.61,623.088,-0.11%,-0.09%,-0.25%
574.041,782.93,621.506,0.57%,-0.06%,0.02%
577.333,782.481,621.618,-0.35%,-0.04%,-0.12%
575.319,782.159,620.898,0.30%,0.02%,-0.07%
577.029,782.291,620.466,-0.26%,0.15%,-0.01%
575.521,783.439,620.404,-0.05%,0.09%,0.41%
575.219,784.107,622.926,0.67%,0.12%,-0.19%
579.065,785.051,621.721,-0.36%,-0.38%,-0.14%
577.007,782.074,620.845,0.62%,-0.68%,-0.23%
580.583,776.773,619.42,-0.40%,0.23%,0.50%
578.254,778.563,622.513,-0.46%,0.12%,0.07%
575.567,779.528,622.929,0.09%,0.09%,0.17%
576.072,780.194,623.963,0.33%,-0.15%,-0.29%
577.967,779.023,622.166,-0.33%,-0.30%,0.02%
576.084,776.676,622.319,-0.14%,0.15%,-0.29%
575.272,777.868,620.484,0.31%,0.10%,-0.16%
577.082,778.65,619.468,-0.21%,0.06%,0.31%
575.867,779.127,621.372,-0.52%,0.59%,0.10%
572.893,783.714,621.993,-0.21%,-0.32%,-0.14%
571.718,781.178,621.12,0.02%,0.17%,-0.36%
571.821,782.521,618.859,-0.23%,0.48%,0.51%
570.523,786.269,622.024,0.30%,-0.07%,0.11%
572.221,785.722,622.693,-0.17%,-0.05%,-0.02%
571.263,785.322,622.562,-0.08%,-0.13%,0.16%
570.801,784.305,623.534,0.44%,0.40%,-0.41%
573.329,787.474,620.949,-0.41%,-0.26%,0.01%
570.976,785.393,621.01,-0.02%,-0.25%,-0.38%
570.866,783.409,618.663,0.86%,0.03%,0.72%
575.769,783.638,623.114,0.35%,-0.01%,0.65%
577.785,783.596,627.159,0.30%,-0.13%,-0.69%
579.541,782.568,622.819,-0.10%,0.41%,-0.08%
578.955,785.779,622.332,0.12%,-0.74%,-0.12%
579.658,779.978,621.595,0.23%,-0.12%,-0.20%
580.978,779.051,620.334,0.38%,-0.10%,0.13%
583.161,778.248,621.158,0.08%,-0.05%,-0.34%
583.612,777.88,619.065,0.29%,-0.04%,0.59%
585.301,777.582,622.689,0.71%,0.37%,0.29%
589.429,780.466,624.48,-0.26%,0.47%,-0.26%
587.881,784.158,622.844,0.78%,0.09%,0.14%
592.487,784.852,623.71,0.38%,0.01%,-0.42%
594.738,784.961,621.061,-0.44%,0.22%,0.62%
592.115,786.673,624.938,0.03%,0.29%,0.12%
592.27,788.967,625.692,-0.95%,-0.17%,-0.02%
586.671,787.64,625.562,-0.13%,0.18%,-0.01%
585.893,789.094,625.499,0.08%,-0.19%,-0.23%
586.384,787.634,624.076,0.09%,0.01%,0.30%
586.927,787.723,625.967,-0.13%,0.29%,-0.07%
586.159,789.974,625.509,-0.09%,-0.20%,0.11%
585.607,788.409,626.175,0.34%,0.00%,-0.24%
587.583,788.418,624.68,,-100.00%,-100.00%